,-4,0,1,2,3,4,-3,5
MAR_STATUS_2012.11,1427.0,2785.0,1208.0,2892.0,84.0,553.0,23.0,12.0
MAR_STATUS_2012.12,1427.0,2779.0,1198.0,2904.0,84.0,557.0,23.0,12.0
MAR_STATUS_2013.01,1427.0,2762.0,1207.0,2904.0,85.0,564.0,23.0,12.0
MAR_STATUS_2013.02,1427.0,2745.0,1211.0,2912.0,83.0,571.0,23.0,12.0
MAR_STATUS_2013.03,1427.0,2731.0,1213.0,2923.0,85.0,571.0,23.0,11.0
MAR_STATUS_2013.04,1427.0,2710.0,1215.0,2935.0,83.0,580.0,23.0,11.0
MAR_STATUS_2013.05,1427.0,2699.0,1210.0,2955.0,80.0,579.0,23.0,11.0
MAR_STATUS_2013.06,1427.0,2686.0,1201.0,2972.0,82.0,582.0,23.0,11.0
MAR_STATUS_2013.07,1427.0,2673.0,1190.0,2993.0,83.0,584.0,23.0,11.0
MAR_STATUS_2013.08,1427.0,2641.0,1195.0,3016.0,85.0,587.0,23.0,10.0
MAR_STATUS_2013.09,1427.0,2621.0,1192.0,3038.0,86.0,587.0,23.0,10.0
MAR_STATUS_2013.10,1427.0,2608.0,1179.0,3065.0,85.0,587.0,23.0,10.0
MAR_STATUS_2013.11,1427.0,2599.0,1173.0,3075.0,85.0,591.0,23.0,11.0
MAR_STATUS_2013.12,1464.0,2573.0,1168.0,3059.0,84.0,595.0,29.0,12.0
MAR_STATUS_2014.01,1549.0,2533.0,1163.0,2998.0,90.0,601.0,37.0,13.0
MAR_STATUS_2014.02,1638.0,2497.0,1145.0,2965.0,90.0,596.0,39.0,14.0
MAR_STATUS_2014.03,1708.0,2462.0,1132.0,2945.0,91.0,590.0,43.0,13.0
MAR_STATUS_2014.04,1765.0,2430.0,1118.0,2932.0,88.0,594.0,44.0,13.0
MAR_STATUS_2014.05,1792.0,2416.0,1104.0,2927.0,92.0,594.0,47.0,12.0
MAR_STATUS_2014.06,1838.0,2401.0,1086.0,2920.0,91.0,589.0,47.0,12.0
MAR_STATUS_2014.07,1866.0,2388.0,1079.0,2922.0,87.0,584.0,47.0,11.0
MAR_STATUS_2014.08,1881.0,2363.0,1079.0,2934.0,88.0,580.0,48.0,11.0
MAR_STATUS_2014.09,1881.0,2344.0,1085.0,2948.0,88.0,579.0,48.0,11.0
MAR_STATUS_2014.10,1881.0,2327.0,1079.0,2968.0,87.0,583.0,48.0,11.0
MAR_STATUS_2014.11,1881.0,2318.0,1075.0,2977.0,88.0,586.0,48.0,11.0
MAR_STATUS_2014.12,1881.0,2317.0,1065.0,2987.0,90.0,585.0,48.0,11.0
MAR_STATUS_2015.01,1881.0,2304.0,1067.0,2994.0,92.0,587.0,48.0,11.0
MAR_STATUS_2015.02,1881.0,2301.0,1062.0,2998.0,92.0,591.0,48.0,11.0
MAR_STATUS_2015.03,1881.0,2296.0,1049.0,3006.0,95.0,598.0,48.0,11.0
MAR_STATUS_2015.04,1881.0,2296.0,1035.0,3020.0,97.0,596.0,48.0,11.0
MAR_STATUS_2015.05,1881.0,2283.0,1032.0,3033.0,97.0,599.0,48.0,11.0
MAR_STATUS_2015.06,1881.0,2268.0,1029.0,3048.0,97.0,602.0,48.0,11.0
MAR_STATUS_2015.07,1881.0,2255.0,1026.0,3062.0,100.0,601.0,48.0,11.0
MAR_STATUS_2015.08,1881.0,2236.0,1026.0,3079.0,103.0,600.0,48.0,11.0
MAR_STATUS_2015.09,1881.0,2229.0,1018.0,3089.0,105.0,603.0,48.0,11.0
MAR_STATUS_2015.10,1881.0,2215.0,1012.0,3106.0,107.0,603.0,48.0,12.0
MAR_STATUS_2015.11,3334.0,1712.0,793.0,2535.0,79.0,483.0,37.0,11.0
MAR_STATUS_2015.12,5565.0,1038.0,452.0,1560.0,45.0,293.0,22.0,9.0
MAR_STATUS_2016.01,6968.0,631.0,273.0,873.0,32.0,189.0,15.0,3.0
MAR_STATUS_2016.02,7769.0,401.0,169.0,505.0,18.0,111.0,9.0,2.0
MAR_STATUS_2016.03,8105.0,299.0,126.0,350.0,11.0,83.0,9.0,1.0
MAR_STATUS_2016.04,8398.0,211.0,81.0,227.0,7.0,52.0,8.0,
MAR_STATUS_2016.05,8596.0,138.0,51.0,149.0,4.0,41.0,5.0,
MAR_STATUS_2016.06,8757.0,75.0,30.0,94.0,2.0,24.0,2.0,
MAR_STATUS_2016.07,8875.0,39.0,15.0,41.0,,13.0,1.0,
MAR_STATUS_2016.08,8964.0,6.0,3.0,7.0,,4.0,,
