,LCI,top3_3,,,,,
699,3,Biological mother only,,,,,
700,4,Anything else,,,,,
701,3,Anything else,,,,,
702,7,Biological mother only,,,,,
703,1,Biological mother only,,,,,
704,1,Biological mother only,,,,,
705,1,Biological mother only,,,,,
707,0,Biological mother only,,,,,
708,7,"No parents, grandparents",,,,,
709,1,Anything else,,,,,
710,0,Anything else,,,,,
711,0,Anything else,,,,,
712,5,Anything else,,,,,
713,2,Biological mother only,,,,,
714,2,"Two parents, biological mother",,,,,
716,1,Both biological parents,,,,,
717,2,Both biological parents,,,,,
718,3,"Two parents, biological mother",,,,,
719,5,Anything else,,,,,
720,1,Biological mother only,,,,,
721,0,Biological mother only,,,,,
722,1,Both biological parents,,,,,
723,3,Both biological parents,,,,,
724,0,Both biological parents,,,,,
725,3,Both biological parents,,,,,
726,0,Both biological parents,,,,,
727,4,Anything else,,,,,
728,5,Both biological parents,,,,,
729,3,Both biological parents,,,,,
730,1,"Two parents, biological father",,,,,
736,1,Both biological parents,,,,,
737,1,Biological mother only,,,,,
738,0,Biological mother only,,,,,
739,1,Both biological parents,,,,,
740,3,Anything else,,,,,
741,1,Both biological parents,,,,,
744,1,Both biological parents,,,,,
745,0,Both biological parents,,,,,
746,0,Both biological parents,,,,,
747,5,"No parents, grandparents",,,,,
748,0,Biological mother only,,,,,
749,5,Anything else,,,,,
750,1,Anything else,,,,,
751,1,Anything else,,,,,
752,0,Biological mother only,,,,,
753,1,Both biological parents,,,,,
754,1,Both biological parents,,,,,
755,0,Both biological parents,,,,,
756,1,Both biological parents,,,,,
757,0,Both biological parents,,,,,
758,0,Adoptive parent(s),,,,,
759,0,"Two parents, biological mother",,,,,
761,1,Both biological parents,,,,,
762,1,Anything else,,,,,
763,0,Anything else,,,,,
764,1,Biological mother only,,,,,
766,3,Both biological parents,,,,,
767,0,Biological mother only,,,,,
768,11,"Two parents, biological mother",,,,,
769,3,Anything else,,,,,
770,1,"Two parents, biological mother",,,,,
772,5,Biological mother only,,,,,
776,1,Anything else,,,,,
