,LCI,top3_2
1192,3,"Never Married, Not Cohabitating"
1193,7,"Never Married, Not Cohabitating"
1194,0,"Never Married, Not Cohabitating"
1195,6,"Never Married, Not Cohabitating"
1196,1,Married
1197,5,"Never Married, Cohabiting"
1198,8,Divorced
1200,1,Married
1201,5,"Never Married, Cohabiting"
1202,0,"Never Married, Not Cohabitating"
1203,4,"Never Married, Not Cohabitating"
1204,6,"Never Married, Not Cohabitating"
1205,3,"Never Married, Cohabiting"
1206,0,"Never Married, Not Cohabitating"
1208,1,Married
1209,0,"Never Married, Not Cohabitating"
1210,2,"Never Married, Not Cohabitating"
1212,0,"Never Married, Not Cohabitating"
1213,0,"Never Married, Not Cohabitating"
1214,1,Married
1215,3,"Never Married, Cohabiting"
1216,1,Married
1217,1,"Never Married, Cohabiting"
1218,4,"Never Married, Cohabiting"
1220,19,"Never Married, Not Cohabitating"
1221,6,"Never Married, Not Cohabitating"
1222,4,"Never Married, Not Cohabitating"
1224,2,"Never Married, Not Cohabitating"
1225,1,"Never Married, Cohabiting"
1226,1,Married
1227,1,"Never Married, Not Cohabitating"
1229,2,"Never Married, Cohabiting"
1230,1,Married
1231,1,Married
1232,1,Married
1233,1,Married
1235,1,Married
1237,1,Married
1238,1,Married
1239,3,Married
1244,0,"Never Married, Not Cohabitating"
1245,1,Married
1247,1,Married
1249,1,Married
1250,0,"Never Married, Not Cohabitating"
1251,1,Married
1252,5,Married
1254,2,"Never Married, Not Cohabitating"
1255,1,Married
1257,1,Married
1258,7,Married
1259,1,Married
1262,5,Married
1263,5,"Never Married, Cohabiting"
1264,4,"Never Married, Not Cohabitating"
1265,0,"Never Married, Not Cohabitating"
1266,3,Married
1267,3,Married
1268,1,Married
1269,0,"Never Married, Not Cohabitating"
1270,1,"Never Married, Cohabiting"
1273,5,"Never Married, Cohabiting"
1275,1,Married
1276,1,"Never Married, Cohabiting"
1277,0,"Never Married, Not Cohabitating"
1278,1,Married
