LCI,R3500900,E7013407,S1542000,E8013403,R1487700,R2602100,S3594800,T6216501,S0921200,R0070700
4,1,3,10,99,5,1.0778,1,1,3,2
4,0.52082009,0,1,99,2,1.0778,8,7,4,3
4,1,2,4.8714,0,1,1.0778,1.8549,5,3.5490221,2
1,1,2,4.8714,0,6,1.0778,1.8549,1,3.5490221,2
0,0,0,10,0,1,0,1.8549,1,4,1
1,0.52082009,2,1,99,0,0,0,5,4,1
1,0,2,2,0,3,0,1.8549,3,4,1
4,1,2,3,0,0,1,0,2,4,2
1,1,1,1,0,0,0,0,2,3,1
0,0,0,1,0,1,1,0,1,4,1
2,0,0,1,0,0,0,1,4,3,3
1,0,1,1,0,1,0,0,1,2,2
2,0,0,4,99,0,0,1.8549,1,4,3
1,0,2,4,99,2,1,1.8549,5,4,1
3,0,0,4,0,0,0,1.8549,1,4,4
1,0.52082009,2,2,0,2,0,1.8549,1,4,4
3,0,2,4,99,3,2,1.8549,5,4,1
1,0.52082009,2,1,99,0,0,0,7,4,3
1,0,2,10,0,0,1,1.8549,2,3,2
1,0,2,1,0,1,0,0,4,4,2
4,1,0,4,0,0,1,1.8549,3,2,1
1,1,1,1,0,2,0,0,3,4,2
0,0,0,1,0,0,0,0,3,4,1.52947075
1,1,2,4.8714,0,0,1.0778,9,4,3.5490221,4
5,0.52082009,2,1,0,0,0,0,4,3,1
1,0,2,3,0,0,0,0,3,3,4
3,0,4,4,0,2,0,7,1,3,2
1,0,1,1,0,0,2,0,1,2,4
1,1,2,1,0,1,0,0,2,4,1
1,0,2,1,0,0,0,0,3.281388,3,1
1,1,1,4,99,2,0,2,1,3,1
3,0.52082009,1,4,99,0,0,1.8549,3.281388,4,2
0,0,0,8,99,0,0,1.8549,1,4,1
0,0,0,4,0,0,1,2,1,4,1
1,0,1,4,0,0,0,2,5,4,1
1,0,1,1,0,2,2,0,2,4,1.52947075
1,0,1.354122,1,34.8614,0,0,0,2,4,1
1,0.52082009,0,1,0,0,0,0,3,4,1.52947075
1,1,2,10,0,4,3,1,7,4,2
1,0,1.354122,2,34.8614,0,0,9,4,4,1
1,0,2,1,0,0,0,0,4,4,1
0,0.52082009,1.354122,4.8714,34.8614,0,0,1.8549,3.281388,3.5490221,1
1,0,2,1,0,1,0,0,1,4,2
0,0.52082009,1.354122,4.8714,0,0,1.0778,1.8549,3.281388,3.5490221,1
0,0,1.354122,4.8714,34.8614,0,2,1.8549,3.281388,3.5490221,2
